ID,fL,fG,
521d38d2-89b4-4fee-b5dd-d18f42a216e6_lvl179,0.6240777914088189,-10.895542929446307,
56b8e4ac-4757-4679-ac36-030931987b90_lvl114,0.714434280652942,-3.2784011795261767,
56b8e4ac-4757-4679-ac36-030931987b90_lvl129,0.712603002742849,-5.563426256436511,
56b8e4ac-4757-4679-ac36-030931987b90_lvl145,0.6816876427227992,-5.25627041609803,
56b8e4ac-4757-4679-ac36-030931987b90_lvl60,0.7931764997731873,-4.819032351221807,
56f050c3-595e-40c7-a656-21076e66917f_lvl145,0.350830360623501,-27.356176347411008,
56f050c3-595e-40c7-a656-21076e66917f_lvl176,0.6253553244916872,-13.025624334664018,
56f050c3-595e-40c7-a656-21076e66917f_lvl28,0.8630906304942804,-7.173080013948175,
56f050c3-595e-40c7-a656-21076e66917f_lvl40,0.816170763665149,-16.208010403875445,
5dd03508-7b35-4f59-b365-2089bd8a3ae7_lvl118,0.6724867129110011,-16.93731024640632,
5dd03508-7b35-4f59-b365-2089bd8a3ae7_lvl186,0.5978734040310237,-7.866433728829443,
5dd03508-7b35-4f59-b365-2089bd8a3ae7_lvl76,0.7626625917307774,-13.17062070996808,
5dd03508-7b35-4f59-b365-2089bd8a3ae7_lvl92,0.7559806216411438,-11.733867132947724,
60eb6bbd-e693-4b39-a26b-deefbdb778b7_lvl115,0.7770625870878812,-4.103061524707107,
60eb6bbd-e693-4b39-a26b-deefbdb778b7_lvl139,0.42678357711816806,-3.474260499869888,
60eb6bbd-e693-4b39-a26b-deefbdb778b7_lvl19,0.8771399530980478,-18.703228970848137,
60eb6bbd-e693-4b39-a26b-deefbdb778b7_lvl96,0.76824477724909,-4.188736603375055,
682c494e-d831-4220-a5a4-fc4ba17165db_lvl116,0.6614818043508391,-30.016741527181967,
682c494e-d831-4220-a5a4-fc4ba17165db_lvl192,0.22372399797168122,-36.67028710261105,
682c494e-d831-4220-a5a4-fc4ba17165db_lvl97,0.6762030879366988,-13.313032944502757,
68c3063b-b165-4829-a70d-ab66e67253c5_lvl155,0.6693196290357842,-12.582445388253321,
6d710075-57ba-4545-bc65-e2a274f9f92b_lvl136,0.29972506519756087,-21.40228076881391,
6d710075-57ba-4545-bc65-e2a274f9f92b_lvl168,0.5184980249324939,-5.479149731697971,
6d710075-57ba-4545-bc65-e2a274f9f92b_lvl171,-0.26396814408276975,-3.7660027955651554,
6d710075-57ba-4545-bc65-e2a274f9f92b_lvl178,0.6100635292448554,-7.7759801701190945,
6d710075-57ba-4545-bc65-e2a274f9f92b_lvl88,0.18257576000549464,-8.14486899858034,
70d6994c-b6d4-4e92-9d50-e1c25931d401_lvl111,0.6723842450074015,-22.625182868849656,
70d6994c-b6d4-4e92-9d50-e1c25931d401_lvl163,0.25328373725201075,-16.409622663545573,
70d6994c-b6d4-4e92-9d50-e1c25931d401_lvl9,0.892986158610861,-31.466383707659823,
70d6994c-b6d4-4e92-9d50-e1c25931d401_lvl97,0.08545129789944576,-9.706093009324949,
735b485e-f9ca-4749-aa61-aa2a98a00d18_lvl19,0.8771399530980478,-14.846561392146553,
735b485e-f9ca-4749-aa61-aa2a98a00d18_lvl49,0.8635042724124612,-10.378744862096017,
735b485e-f9ca-4749-aa61-aa2a98a00d18_lvl85,0.8145261303831788,-13.14520077441238,
73793320-1d3e-42d8-afa1-e7260980cd3c_lvl189,0.6212131216034514,-22.235465161899548,
73793320-1d3e-42d8-afa1-e7260980cd3c_lvl46,0.858543174774505,-19.34112668769899,
73793320-1d3e-42d8-afa1-e7260980cd3c_lvl93,0.694944586095579,-13.694040783657064,
76027eb9-e5df-464c-84e0-88c816678977_lvl11,0.8372409939788593,-3.743729703104019,
76027eb9-e5df-464c-84e0-88c816678977_lvl13,0.8932647699278317,-8.920361448272224,
76027eb9-e5df-464c-84e0-88c816678977_lvl132,0.7092523864404693,-6.066705080326726,
76027eb9-e5df-464c-84e0-88c816678977_lvl66,0.8259096331519052,-10.019389876519122,
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl104,0.6972366209963908,-2.618201818364207,
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl13,0.8932647699278317,-5.712517227458862,
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl158,0.6463941835352682,-7.321795421200942,
765cec57-b27c-4efa-a54c-3b025ba97aef_lvl173,0.28652436626557065,-5.85032866803606,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl1,0.9104926453012966,-6.644528193622824,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl102,0.766482893335614,-13.945596520616965,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1_lvl2,0.9377569935495824,-20.821632044643057,
769a7824-b9fe-4936-b87b-cab185803a17_lvl141,0.7381225382104205,-13.940345529434042,
769a7824-b9fe-4936-b87b-cab185803a17_lvl21,0.8849410832671889,-12.41463703826855,
769a7824-b9fe-4936-b87b-cab185803a17_lvl57,0.8506131638766109,-11.546839573783977,
769a7824-b9fe-4936-b87b-cab185803a17_lvl99,0.7455865920688475,-11.705554266246907,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67_lvl105,0.620980101377723,-7.003300410731102,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67_lvl134,0.7467606060662391,-30.25469607865202,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67_lvl31,0.8238163126449447,-3.111314923905434,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67_lvl39,0.841924829848599,-20.045374715721614,
85be412a-dc18-4714-a556-d199f984209c_lvl1,0.9104926453012966,-11.894186084513931,
85be412a-dc18-4714-a556-d199f984209c_lvl108,0.7101868364308721,-37.73493856192371,
85be412a-dc18-4714-a556-d199f984209c_lvl124,0.4808006047290508,-13.07134398009846,
85be412a-dc18-4714-a556-d199f984209c_lvl158,0.15852738719195592,-27.35676831238971,
8ad0e653-d918-447f-b8c2-53fcdffd6c1e_lvl94,0.781921302573392,-17.50345090275924,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05_lvl115,0.7770625870878812,-6.550434659346167,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05_lvl146,0.6937920585217002,-6.901109036220128,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05_lvl169,0.6537270975995478,-5.04986455213761,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05_lvl70,0.7992178396407236,-10.08826112422774,
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl118,0.6256991004697158,-13.499467733865282,
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl139,0.5795907992175484,-1.2378944084170156,
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl62,0.7801792029905282,-50.75305242436342,
8ca1d2dc-4daa-44d9-a842-659c691eac35_lvl72,0.7490546520556197,-16.665286133533534,
8e16acd5-31df-429f-a0b4-4e6f82157507_lvl143,0.6872987723121188,-6.523718672111255,
8e16acd5-31df-429f-a0b4-4e6f82157507_lvl29,0.8681235841489346,-7.728178624374167,
8e16acd5-31df-429f-a0b4-4e6f82157507_lvl31,0.8238163126449447,-2.646440288009878,
8e16acd5-31df-429f-a0b4-4e6f82157507_lvl93,0.7226768964505262,-8.249822750871582,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl10,0.8872979277266032,-11.23444766562609,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl149,0.7080731501324988,-12.708864208935461,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl184,0.6275099975793964,-13.7293527363601,
90237211-82c9-4695-9a59-8d975f6bef3a_lvl84,0.7495073952818977,-14.361136313187698,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl142,0.7114343039376347,-4.353053370447784,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl25,0.8289053961559257,-49.97488326813039,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl46,0.858543174774505,-11.563935909963787,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0_lvl84,0.7495073952818977,-6.647378707409694,
9720c245-2bd9-44e0-825b-d54324f5b90a_lvl169,0.6537270975995478,-11.27875382978899,
9720c245-2bd9-44e0-825b-d54324f5b90a_lvl186,0.5978734040310237,-10.743118555578684,
9720c245-2bd9-44e0-825b-d54324f5b90a_lvl37,0.8393921897916077,-12.021319332921918,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56_lvl162,-0.009577524303831008,-79.8609536045041,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56_lvl34,0.8554821577847052,-6.214021862029669,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56_lvl4,0.9077463054179453,-6.87401215373825,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56_lvl87,0.8077175954256695,-12.793823651354892,
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl128,0.7054780529791141,-6.661905567938663,
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl14,0.8902387914795569,-5.104101890974423,
9fa2d416-3c98-481e-9f25-608316e9aa27_lvl30,0.864460908540475,-6.85366157288301,
